"","Treatment","Timestamp","ODmean","ODsd","ODcount","ElapsedTime","OD2mean","OD2sd","ODse","OD2se","Temp","RPM","pH","Volume","Media","Col","pch","InoculationDate","ExpName"
"24","250mM_Mg2+",2022-11-12 11:46:57,0.131,0.003,3,117.818611111111,0.131,0.003,0.00173205080756888,0.00173205080756888,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"25","250mM_Mg2+",2022-11-13 14:58:21,0.26,0.0286181760425084,3,145.008611111111,0.26,0.0286181760425084,0.0165227116418583,0.0165227116418583,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"26","250mM_Mg2+",2022-11-14 18:32:17,0.325333333333333,0.00838649708360609,3,172.574166666667,0.325333333333333,0.00838649708360609,0.00484194634877799,0.00484194634877799,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"27","250mM_Mg2+",2022-11-15 07:10:06,0.341666666666667,0.0128970280814354,3,185.204444444444,0.341666666666667,0.0128970280814354,0.00744610263456288,0.00744610263456288,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"28","250mM_Mg2+_Control",2022-11-07 13:57:50,0.001,NA,1,0,0.001,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"29","250mM_Mg2+_Control",2022-11-08 18:58:09,0.001,NA,1,29.0052777777778,0.001,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"30","250mM_Mg2+_Control",2022-11-09 14:49:07,0.001,NA,1,48.8547222222222,0.001,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"31","250mM_Mg2+_Control",2022-11-10 22:22:14,0.001,NA,1,80.4066666666667,0.001,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"32","250mM_Mg2+_Control",2022-11-11 13:54:01,0.001,NA,1,95.9363888888889,0.001,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"33","250mM_Mg2+_Control",2022-11-12 11:46:57,0.001,NA,1,117.818611111111,0.001,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"34","250mM_Mg2+_Control",2022-11-13 14:58:21,0.001,NA,1,145.008611111111,0.001,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"35","250mM_Mg2+_Control",2022-11-14 18:32:17,0.002,NA,1,172.574166666667,0.002,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"36","250mM_Mg2+_Control",2022-11-15 07:10:06,0.002,NA,1,185.204444444444,0.002,NA,NA,NA,32,100,7.5,50,"CDM","brown1",21,"20221107","Hmari"
"37","500mM_Mg2+",2022-11-07 13:57:50,0.001,0,3,0,0.001,0,0,0,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"38","500mM_Mg2+",2022-11-08 18:58:09,0.01,0.00264575131106459,3,29.0052777777778,0.01,0.00264575131106459,0.00152752523165195,0.00152752523165195,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"39","500mM_Mg2+",2022-11-09 14:49:07,0.0146666666666667,0.00351188458428425,3,48.8547222222222,0.0146666666666667,0.00351188458428425,0.00202758751009941,0.00202758751009941,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"40","500mM_Mg2+",2022-11-10 22:22:14,0.0406666666666667,0.0023094010767585,3,80.4066666666667,0.0406666666666667,0.0023094010767585,0.00133333333333333,0.00133333333333333,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"41","500mM_Mg2+",2022-11-11 13:54:01,0.0606666666666667,0.0023094010767585,3,95.9363888888889,0.0606666666666667,0.0023094010767585,0.00133333333333333,0.00133333333333333,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"42","500mM_Mg2+",2022-11-12 11:46:57,0.103333333333333,0.000577350269189626,3,117.818611111111,0.103333333333333,0.000577350269189626,0.000333333333333334,0.000333333333333334,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"43","500mM_Mg2+",2022-11-13 14:58:21,0.156,0.00360555127546399,3,145.008611111111,0.156,0.00360555127546399,0.00208166599946613,0.00208166599946613,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"44","500mM_Mg2+",2022-11-14 18:32:17,0.192333333333333,0.00208166599946613,3,172.574166666667,0.192333333333333,0.00208166599946613,0.00120185042515466,0.00120185042515466,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"45","500mM_Mg2+",2022-11-15 07:10:06,0.189333333333333,0.00152752523165195,3,185.204444444444,0.189333333333333,0.00152752523165195,0.000881917103688198,0.000881917103688198,32,100,7.5,50,"CDM","darkred",16,"20221107","Hmari"
"46","500mM_Mg2+_Control",2022-11-07 13:57:50,0.001,NA,1,0,0.001,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"47","500mM_Mg2+_Control",2022-11-08 18:58:09,0.006,NA,1,29.0052777777778,0.006,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"48","500mM_Mg2+_Control",2022-11-09 14:49:07,0.005,NA,1,48.8547222222222,0.005,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"49","500mM_Mg2+_Control",2022-11-10 22:22:14,0.008,NA,1,80.4066666666667,0.008,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"50","500mM_Mg2+_Control",2022-11-11 13:54:01,0.009,NA,1,95.9363888888889,0.009,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"51","500mM_Mg2+_Control",2022-11-12 11:46:57,0.012,NA,1,117.818611111111,0.012,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"52","500mM_Mg2+_Control",2022-11-13 14:58:21,0.011,NA,1,145.008611111111,0.011,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"53","500mM_Mg2+_Control",2022-11-14 18:32:17,0.014,NA,1,172.574166666667,0.014,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"54","500mM_Mg2+_Control",2022-11-15 07:10:06,0.012,NA,1,185.204444444444,0.012,NA,NA,NA,32,100,7.5,50,"CDM","darkred",21,"20221107","Hmari"
"55","50mM_Mg2+",2022-11-07 13:57:50,0.00533333333333333,0.00152752523165195,3,0,0.00533333333333333,0.00152752523165195,0.000881917103688197,0.000881917103688197,32,100,7.5,50,"CDM","coral",16,"20221107","Hmari"
"56","50mM_Mg2+",2022-11-08 18:58:09,0.0126666666666667,0.00351188458428425,3,29.0052777777778,0.0126666666666667,0.00351188458428425,0.00202758751009941,0.00202758751009941,32,100,7.5,50,"CDM","coral",16,"20221107","Hmari"
"57","50mM_Mg2+",2022-11-09 14:49:07,0.0166666666666667,0.00351188458428425,3,48.8547222222222,0.0166666666666667,0.00351188458428425,0.00202758751009941,0.00202758751009941,32,100,7.5,50,"CDM","coral",16,"20221107","Hmari"
"58","50mM_Mg2+",2022-11-10 22:22:14,0.053,0.00529150262212918,3,80.4066666666667,0.053,0.00529150262212918,0.00305505046330389,0.00305505046330389,32,100,7.5,50,"CDM","coral",16,"20221107","Hmari"
"59","50mM_Mg2+",2022-11-11 13:54:01,0.108666666666667,0.00901849950564578,3,95.9363888888889,0.108666666666667,0.00901849950564578,0.0052068331172711,0.0052068331172711,32,100,7.5,50,"CDM","coral",16,"20221107","Hmari"
"60","50mM_Mg2+",2022-11-12 11:46:57,0.289333333333333,0.0107857931249089,3,117.818611111111,0.289333333333333,0.0107857931249089,0.00622718056408979,0.00622718056408979,32,100,7.5,50,"CDM","coral",16,"20221107","Hmari"
"61","50mM_Mg2+",2022-11-13 14:58:21,0.520333333333333,0.0170098010962308,3,145.008611111111,0.520333333333333,0.0170098010962308,0.00982061324177083,0.00982061324177083,32,100,7.5,50,"CDM","coral",16,"20221107","Hmari"
"62","50mM_Mg2+_Control",2022-11-07 13:57:50,0.001,NA,1,0,0.001,NA,NA,NA,32,100,7.5,50,"CDM","coral",21,"20221107","Hmari"
"63","50mM_Mg2+_Control",2022-11-08 18:58:09,0.001,NA,1,29.0052777777778,0.001,NA,NA,NA,32,100,7.5,50,"CDM","coral",21,"20221107","Hmari"
"64","50mM_Mg2+_Control",2022-11-09 14:49:07,0.001,NA,1,48.8547222222222,0.001,NA,NA,NA,32,100,7.5,50,"CDM","coral",21,"20221107","Hmari"
"65","50mM_Mg2+_Control",2022-11-10 22:22:14,0.002,NA,1,80.4066666666667,0.002,NA,NA,NA,32,100,7.5,50,"CDM","coral",21,"20221107","Hmari"
"66","50mM_Mg2+_Control",2022-11-11 13:54:01,0.001,NA,1,95.9363888888889,0.001,NA,NA,NA,32,100,7.5,50,"CDM","coral",21,"20221107","Hmari"
"67","50mM_Mg2+_Control",2022-11-12 11:46:57,0.001,NA,1,117.818611111111,0.001,NA,NA,NA,32,100,7.5,50,"CDM","coral",21,"20221107","Hmari"
"68","50mM_Mg2+_Control",2022-11-13 14:58:21,0.001,NA,1,145.008611111111,0.001,NA,NA,NA,32,100,7.5,50,"CDM","coral",21,"20221107","Hmari"
